,ALT_GEO_CODE,CENSUS_YEAR,DATA_QUALITY_FLAG,GEO_CODE,GEO_CODE (POR),GEO_LEVEL,GEO_NAME,GNR,GNR_LF,Member ID: Profile of Census Tracts (2247),Profile_of_Census_Tracts,Total-Sex,area,average,format_CODE,percentage,higer/lower,absolute
1139,535081004,2016,0,,5350810.04,2,810.04,2.4,2.5,742,Median total income of households in 2015 ($),84787,Toronto,78373,5350810.04,8.18%,higher,8.18%
643,535041015,2016,0,,5350410.15,2,410.15,1.4,4,742,Median total income of households in 2015 ($),84821,Toronto,78373,5350410.15,8.23%,higher,8.23%
765,535047400,2016,1,,5350474,2,474,4,7,742,Median total income of households in 2015 ($),84843,Toronto,78373,5350474.00,8.26%,higher,8.26%
90,535007202,2016,0,,5350072.02,2,72.02,3.4,2.8,742,Median total income of households in 2015 ($),84941,Toronto,78373,5350072.02,8.38%,higher,8.38%
930,535056207,2016,0,,5350562.07,2,562.07,2.8,4.7,742,Median total income of households in 2015 ($),84941,Toronto,78373,5350562.07,8.38%,higher,8.38%
449,535033101,2016,0,,5350331.01,2,331.01,4.4,4.3,742,Median total income of households in 2015 ($),84949,Toronto,78373,5350331.01,8.39%,higher,8.39%
460,535033900,2016,0,,5350339,2,339,3.2,6.3,742,Median total income of households in 2015 ($),85049,Toronto,78373,5350339.00,8.52%,higher,8.52%
16,535001203,2016,101,,5350012.03,2,12.03,4.8,6.1,742,Median total income of households in 2015 ($),85148,Toronto,78373,5350012.03,8.64%,higher,8.64%
38,539011100,2016,0,5390111,,2,111,6.6,5.4,742,Median total income of households in 2015 ($),85175,St. Catharines - Niagara,63001,5390111.00,35.20%,higher,35.20%
807,535051502,2016,0,,5350515.02,2,515.02,6.5,4,742,Median total income of households in 2015 ($),85248,Toronto,78373,5350515.02,8.77%,higher,8.77%
812,535051605,2016,0,,5350516.05,2,516.05,1.8,3,742,Median total income of households in 2015 ($),85327,Toronto,78373,5350516.05,8.87%,higher,8.87%
100,535008100,2016,0,,5350081,2,81,2.1,0,742,Median total income of households in 2015 ($),85402,Toronto,78373,5350081.00,8.97%,higher,8.97%
638,535041010,2016,0,,5350410.1,2,410.1,2.5,4.1,742,Median total income of households in 2015 ($),85419,Toronto,78373,5350410.10,8.99%,higher,8.99%
759,535047000,2016,1,,5350470,2,470,3.6,5.4,742,Median total income of households in 2015 ($),85447,Toronto,78373,5350470.00,9.03%,higher,9.03%
761,535047200,2016,0,,5350472,2,472,2.7,4.4,742,Median total income of households in 2015 ($),85504,Toronto,78373,5350472.00,9.10%,higher,9.10%
1104,535080101,2016,0,,5350801.01,2,801.01,2.4,4.2,742,Median total income of households in 2015 ($),85504,Toronto,78373,5350801.01,9.10%,higher,9.10%
18,568000800,2016,0,5680008,,2,8,2,2.3,742,Median total income of households in 2015 ($),85504,Barrie,80788,5680008.00,5.84%,higher,5.84%
14,532000803,2016,0,5320008.03,,2,8.03,3.3,4.2,742,Median total income of households in 2015 ($),85577,Oshawa,85697,5320008.03,-0.14%,lower,0.14%
37,539011000,2016,0,5390110,,2,110,5.8,7.1,742,Median total income of households in 2015 ($),85589,St. Catharines - Niagara,63001,5390110.00,35.85%,higher,35.85%
39,539011200,2016,1,5390112,,2,112,4.3,8.6,742,Median total income of households in 2015 ($),85606,St. Catharines - Niagara,63001,5390112.00,35.88%,higher,35.88%
932,535056209,2016,0,,5350562.09,2,562.09,2.5,5.4,742,Median total income of households in 2015 ($),85632,Toronto,78373,5350562.09,9.26%,higher,9.26%
0,532,2016,0,532,,1,Oshawa,3.2,4,742,Median total income of households in 2015 ($),85697,Oshawa,85697,532.00,0.00%,higher,0.00%
815,535051609,2016,0,,5350516.09,2,516.09,2.3,3.8,742,Median total income of households in 2015 ($),85760,Toronto,78373,5350516.09,9.43%,higher,9.43%
10,568000403,2016,0,5680004.03,,2,4.03,2.7,2.9,742,Median total income of households in 2015 ($),85888,Barrie,80788,5680004.03,6.31%,higher,6.31%
21,543001404,2016,0,5430014.04,,2,14.04,2.9,3.8,742,Median total income of households in 2015 ($),85952,Brantford,68756,5430014.04,25.01%,higher,25.01%
145,535011900,2016,0,,5350119,2,119,4.2,4,742,Median total income of households in 2015 ($),86016,Toronto,78373,5350119.00,9.75%,higher,9.75%
1007,535057665,2016,0,,5350576.65,2,576.65,1.5,1,742,Median total income of households in 2015 ($),86016,Toronto,78373,5350576.65,9.75%,higher,9.75%
40,539020000,2016,0,5390200,,2,200,2.5,5.4,742,Median total income of households in 2015 ($),86067,St. Catharines - Niagara,63001,5390200.00,36.61%,higher,36.61%
387,535030403,2016,0,,5350304.03,2,304.03,2.3,1.3,742,Median total income of households in 2015 ($),86187,Toronto,78373,5350304.03,9.97%,higher,9.97%
4,537000105,2016,0,5370001.05,,,1.05,3.8,6.4,742,Median total income of households in 2015 ($),86199,Hamilton,75464,5370001.05,14.23%,higher,14.23%
430,535031703,2016,0,,5350317.03,2,317.03,2.2,3.9,742,Median total income of households in 2015 ($),86345,Toronto,78373,5350317.03,10.17%,higher,10.17%
887,535052820,2016,0,,5350528.2,2,528.2,2.4,2.4,742,Median total income of households in 2015 ($),86357,Toronto,78373,5350528.20,10.19%,higher,10.19%
60,535005001,2016,0,,5350050.01,2,50.01,3.3,3.1,742,Median total income of households in 2015 ($),86435,Toronto,78373,5350050.01,10.29%,higher,10.29%
15,543001103,2016,0,5430011.03,,2,11.03,1.7,2.7,742,Median total income of households in 2015 ($),86481,Brantford,68756,5430011.03,25.78%,higher,25.78%
990,535057646,2016,0,,5350576.46,2,576.46,2.1,3.3,742,Median total income of households in 2015 ($),86528,Toronto,78373,5350576.46,10.41%,higher,10.41%
130,537013100,2016,0,5370131,,,131,2.2,3.3,742,Median total income of households in 2015 ($),86579,Hamilton,75464,5370131.00,14.73%,higher,14.73%
78,541012001,2016,0,5410120.01,,2,120.01,2.1,3.7,742,Median total income of households in 2015 ($),86585,Kitchener - Cambridge - Waterloo,77229,5410120.01,12.11%,higher,12.11%
570,535037828,2016,0,,5350378.28,2,378.28,2,4.2,742,Median total income of households in 2015 ($),86624,Toronto,78373,5350378.28,10.53%,higher,10.53%
3,535000300,2016,2100,,5350003,2,3,28.3,0.9,742,Median total income of households in 2015 ($),86699,Toronto,78373,5350003.00,10.62%,higher,10.62%
617,535040210,2016,0,,5350402.1,2,402.1,2.3,4.2,742,Median total income of households in 2015 ($),86707,Toronto,78373,5350402.10,10.63%,higher,10.63%
976,535057620,2016,0,,5350576.2,2,576.2,2.9,4.5,742,Median total income of households in 2015 ($),86711,Toronto,78373,5350576.20,10.64%,higher,10.64%
1150,535083102,2016,0,,5350831.02,2,831.02,4.1,4.6,742,Median total income of households in 2015 ($),86720,Toronto,78373,5350831.02,10.65%,higher,10.65%
208,535018101,2016,0,,5350181.01,2,181.01,3.1,4.6,742,Median total income of households in 2015 ($),86784,Toronto,78373,5350181.01,10.73%,higher,10.73%
774,535048301,2016,0,,5350483.01,2,483.01,2.2,4.7,742,Median total income of households in 2015 ($),86784,Toronto,78373,5350483.01,10.73%,higher,10.73%
954,535057305,2016,1,,5350573.05,2,573.05,2.8,5.2,742,Median total income of households in 2015 ($),86857,Toronto,78373,5350573.05,10.83%,higher,10.83%
1142,535081200,2016,0,,5350812,2,812,2,2.3,742,Median total income of households in 2015 ($),87008,Toronto,78373,5350812.00,11.02%,higher,11.02%
6,532000302,2016,0,5320003.02,,2,3.02,2.5,3.2,742,Median total income of households in 2015 ($),87063,Oshawa,85697,5320003.02,1.59%,higher,1.59%
24,529010300,2016,0,5290103,,,103,2.6,3.4,742,Median total income of households in 2015 ($),87066,Peterborough,64777,5290103.00,34.41%,higher,34.41%
30,537001300,2016,0,5370013,,,13,3.1,4.7,742,Median total income of households in 2015 ($),87104,Hamilton,75464,5370013.00,15.42%,higher,15.42%
10,541000209,2016,0,5410002.09,,2,2.09,4.7,3.9,742,Median total income of households in 2015 ($),87168,Kitchener - Cambridge - Waterloo,77229,5410002.09,12.87%,higher,12.87%
967,535057508,2016,1,,5350575.08,2,575.08,1.9,4.2,742,Median total income of households in 2015 ($),87200,Toronto,78373,5350575.08,11.26%,higher,11.26%
872,535052705,2016,0,,5350527.05,2,527.05,3.2,2.1,742,Median total income of households in 2015 ($),87211,Toronto,78373,5350527.05,11.28%,higher,11.28%
27,541000905,2016,0,5410009.05,,2,9.05,3,4.5,742,Median total income of households in 2015 ($),87270,Kitchener - Cambridge - Waterloo,77229,5410009.05,13.00%,higher,13.00%
148,535012200,2016,0,,5350122,2,122,3.3,3.7,742,Median total income of households in 2015 ($),87280,Toronto,78373,5350122.00,11.36%,higher,11.36%
18,543001401,2016,0,5430014.01,,2,14.01,1.7,3.9,742,Median total income of households in 2015 ($),87296,Brantford,68756,5430014.01,26.96%,higher,26.96%
4,568000105,2016,0,5680001.05,,2,1.05,2.5,2.7,742,Median total income of households in 2015 ($),87467,Barrie,80788,5680001.05,8.27%,higher,8.27%
253,535021500,2016,0,,5350215,2,215,2.8,3.5,742,Median total income of households in 2015 ($),87524,Toronto,78373,5350215.00,11.68%,higher,11.68%
969,535057605,2016,0,,5350576.05,2,576.05,3.5,4.7,742,Median total income of households in 2015 ($),87532,Toronto,78373,5350576.05,11.69%,higher,11.69%
855,535052102,2016,0,,5350521.02,2,521.02,1.6,0.4,742,Median total income of households in 2015 ($),87552,Toronto,78373,5350521.02,11.71%,higher,11.71%
395,535030602,2016,1,,5350306.02,2,306.02,2.8,7,742,Median total income of households in 2015 ($),87637,Toronto,78373,5350306.02,11.82%,higher,11.82%
1000,535057658,2016,0,,5350576.58,2,576.58,2.1,1.8,742,Median total income of households in 2015 ($),87654,Toronto,78373,5350576.58,11.84%,higher,11.84%
472,535034700,2016,0,,5350347,2,347,5.8,2.9,742,Median total income of households in 2015 ($),87680,Toronto,78373,5350347.00,11.88%,higher,11.88%
927,535056204,2016,0,,5350562.04,2,562.04,2.9,3.6,742,Median total income of households in 2015 ($),87712,Toronto,78373,5350562.04,11.92%,higher,11.92%
9,541000207,2016,0,5410002.07,,2,2.07,4.6,2.1,742,Median total income of households in 2015 ($),87808,Kitchener - Cambridge - Waterloo,77229,5410002.07,13.70%,higher,13.70%
11,537000204,2016,0,5370002.04,,,2.04,2,4.1,742,Median total income of households in 2015 ($),87881,Hamilton,75464,5370002.04,16.45%,higher,16.45%
569,535037827,2016,0,,5350378.27,2,378.27,1.9,4.1,742,Median total income of households in 2015 ($),87893,Toronto,78373,5350378.27,12.15%,higher,12.15%
31,537001400,2016,0,5370014,,,14,3,4.6,742,Median total income of households in 2015 ($),87893,Hamilton,75464,5370014.00,16.47%,higher,16.47%
99,537008001,2016,1,5370080.01,,,80.01,2.8,5.4,742,Median total income of households in 2015 ($),87893,Hamilton,75464,5370080.01,16.47%,higher,16.47%
34,539010201,2016,0,5390102.01,,2,102.01,2.8,4.8,742,Median total income of households in 2015 ($),88000,St. Catharines - Niagara,63001,5390102.01,39.68%,higher,39.68%
838,535051643,2016,0,,5350516.43,2,516.43,2.9,4.3,742,Median total income of households in 2015 ($),88021,Toronto,78373,5350516.43,12.31%,higher,12.31%
453,535033300,2016,0,,5350333,2,333,2.1,2.5,742,Median total income of households in 2015 ($),88166,Toronto,78373,5350333.00,12.50%,higher,12.50%
30,529020100,2016,0,5290201,,,201,4.7,6.5,742,Median total income of households in 2015 ($),88243,Peterborough,64777,5290201.00,36.23%,higher,36.23%
56,535004703,2016,0,,5350047.03,2,47.03,3.6,2.3,742,Median total income of households in 2015 ($),88320,Toronto,78373,5350047.03,12.69%,higher,12.69%
83,541012301,2016,0,5410123.01,,2,123.01,2.9,4.2,742,Median total income of households in 2015 ($),88357,Kitchener - Cambridge - Waterloo,77229,5410123.01,14.41%,higher,14.41%
108,535008900,2016,101,,5350089,2,89,9.4,6.5,742,Median total income of households in 2015 ($),88466,Toronto,78373,5350089.00,12.88%,higher,12.88%
11,550000402,2016,0,5500004.02,,2,4.02,2.1,1.8,742,Median total income of households in 2015 ($),88537,Guelph,81223,5500004.02,9.00%,higher,9.00%
1028,535059102,2016,0,,5350591.02,2,591.02,1.8,0.4,742,Median total income of households in 2015 ($),88576,Toronto,78373,5350591.02,13.02%,higher,13.02%
156,537020900,2016,0,5370209,,,209,1.7,0.7,742,Median total income of households in 2015 ($),88576,Hamilton,75464,5370209.00,17.38%,higher,17.38%
12,535001001,2016,1,,5350010.01,2,10.01,4,5.7,742,Median total income of households in 2015 ($),88640,Toronto,78373,5350010.01,13.10%,higher,13.10%
775,535048302,2016,0,,5350483.02,2,483.02,2.1,4.6,742,Median total income of households in 2015 ($),88649,Toronto,78373,5350483.02,13.11%,higher,13.11%
817,535051616,2016,100,,5350516.16,2,516.16,9,3.9,742,Median total income of households in 2015 ($),88649,Toronto,78373,5350516.16,13.11%,higher,13.11%
95,535007700,2016,0,,5350077,2,77,2.7,2.2,742,Median total income of households in 2015 ($),88704,Toronto,78373,5350077.00,13.18%,higher,13.18%
843,535051649,2016,0,,5350516.49,2,516.49,1.7,2,742,Median total income of households in 2015 ($),88704,Toronto,78373,5350516.49,13.18%,higher,13.18%
281,535023602,2016,0,,5350236.02,2,236.02,2.5,2.4,742,Median total income of households in 2015 ($),88804,Toronto,78373,5350236.02,13.31%,higher,13.31%
272,535023001,2016,0,,5350230.01,2,230.01,3.3,2.6,742,Median total income of households in 2015 ($),88832,Toronto,78373,5350230.01,13.35%,higher,13.35%
171,537022202,2016,0,5370222.02,,,222.02,2.5,4.3,742,Median total income of households in 2015 ($),88832,Hamilton,75464,5370222.02,17.71%,higher,17.71%
1122,535080506,2016,0,,5350805.06,2,805.06,3.5,4.8,742,Median total income of households in 2015 ($),88858,Toronto,78373,5350805.06,13.38%,higher,13.38%
628,535040313,2016,0,,5350403.13,2,403.13,1.9,4,742,Median total income of households in 2015 ($),88860,Toronto,78373,5350403.13,13.38%,higher,13.38%
794,535050901,2016,0,,5350509.01,2,509.01,2.4,4.4,742,Median total income of households in 2015 ($),89060,Toronto,78373,5350509.01,13.64%,higher,13.64%
437,535032101,2016,1,,5350321.01,2,321.01,2.5,5.6,742,Median total income of households in 2015 ($),89088,Toronto,78373,5350321.01,13.67%,higher,13.67%
1131,535080519,2016,0,,5350805.19,2,805.19,2.5,4.4,742,Median total income of households in 2015 ($),89088,Toronto,78373,5350805.19,13.67%,higher,13.67%
76,541011107,2016,100,5410111.07,,2,111.07,6.1,6,742,Median total income of households in 2015 ($),89088,Kitchener - Cambridge - Waterloo,77229,5410111.07,15.36%,higher,15.36%
249,535021200,2016,0,,5350212,2,212,2.9,6.8,742,Median total income of households in 2015 ($),89173,Toronto,78373,5350212.00,13.78%,higher,13.78%
211,535018301,2016,0,,5350183.01,2,183.01,2.4,2.3,742,Median total income of households in 2015 ($),89515,Toronto,78373,5350183.01,14.22%,higher,14.22%
577,535040011,2016,0,,5350400.11,2,400.11,1.5,1.1,742,Median total income of households in 2015 ($),89515,Toronto,78373,5350400.11,14.22%,higher,14.22%
623,535040307,2016,0,,5350403.07,2,403.07,1.9,3,742,Median total income of households in 2015 ($),89536,Toronto,78373,5350403.07,14.24%,higher,14.24%
940,535056401,2016,0,,5350564.01,2,564.01,2.6,4.5,742,Median total income of households in 2015 ($),89536,Toronto,78373,5350564.01,14.24%,higher,14.24%
218,535018700,2016,0,,5350187,2,187,2.5,0.9,742,Median total income of households in 2015 ($),89549,Toronto,78373,5350187.00,14.26%,higher,14.26%
668,535041206,2016,0,,5350412.06,2,412.06,1.3,3.8,742,Median total income of households in 2015 ($),89600,Toronto,78373,5350412.06,14.33%,higher,14.33%
955,535057306,2016,0,,5350573.06,2,573.06,2.2,5,742,Median total income of households in 2015 ($),89702,Toronto,78373,5350573.06,14.46%,higher,14.46%
442,535032302,2016,0,,5350323.02,2,323.02,6.5,5.4,742,Median total income of households in 2015 ($),89792,Toronto,78373,5350323.02,14.57%,higher,14.57%
24,535001800,2016,100,,5350018,2,18,5.6,3.7,742,Median total income of households in 2015 ($),89856,Toronto,78373,5350018.00,14.65%,higher,14.65%
625,535040310,2016,0,,5350403.1,2,403.1,1.5,4.5,742,Median total income of households in 2015 ($),89856,Toronto,78373,5350403.10,14.65%,higher,14.65%
259,535022101,2016,0,,5350221.01,2,221.01,2.2,1.6,742,Median total income of households in 2015 ($),89913,Toronto,78373,5350221.01,14.72%,higher,14.72%
873,535052706,2016,0,,5350527.06,2,527.06,5.8,2.8,742,Median total income of households in 2015 ($),89984,Toronto,78373,5350527.06,14.82%,higher,14.82%
1041,535060800,2016,0,,5350608,2,608,4.9,3.4,742,Median total income of households in 2015 ($),89984,Toronto,78373,5350608.00,14.82%,higher,14.82%
957,535057309,2016,0,,5350573.09,2,573.09,2.4,5.4,742,Median total income of households in 2015 ($),90084,Toronto,78373,5350573.09,14.94%,higher,14.94%
4,539000302,2016,0,5390003.02,,2,3.02,2.9,2.8,742,Median total income of households in 2015 ($),90176,St. Catharines - Niagara,63001,5390003.02,43.13%,higher,43.13%
647,535041108,2016,0,,5350411.08,2,411.08,4.2,5.4,742,Median total income of households in 2015 ($),90214,Toronto,78373,5350411.08,15.11%,higher,15.11%
113,537008502,2016,0,5370085.02,,,85.02,2.2,2.6,742,Median total income of households in 2015 ($),90254,Hamilton,75464,5370085.02,19.60%,higher,19.60%
1084,535062200,2016,0,,5350622,2,622,2.7,3.3,742,Median total income of households in 2015 ($),90304,Toronto,78373,5350622.00,15.22%,higher,15.22%
67,539024202,2016,0,5390242.02,,2,242.02,5.7,5,742,Median total income of households in 2015 ($),90411,St. Catharines - Niagara,63001,5390242.02,43.51%,higher,43.51%
601,535040117,2016,0,,5350401.17,2,401.17,2.5,3.5,742,Median total income of households in 2015 ($),90539,Toronto,78373,5350401.17,15.52%,higher,15.52%
779,535048501,2016,0,,5350485.01,2,485.01,3,3.7,742,Median total income of households in 2015 ($),90624,Toronto,78373,5350485.01,15.63%,higher,15.63%
933,535056211,2016,0,,5350562.11,2,562.11,2.5,4.1,742,Median total income of households in 2015 ($),90624,Toronto,78373,5350562.11,15.63%,higher,15.63%
66,539024201,2016,0,5390242.01,,2,242.01,2.7,4.1,742,Median total income of households in 2015 ($),90709,St. Catharines - Niagara,63001,5390242.01,43.98%,higher,43.98%
83,532020502,2016,0,5320205.02,,2,205.02,2.8,5.7,742,Median total income of households in 2015 ($),90880,Oshawa,85697,5320205.02,6.05%,higher,6.05%
25,529010400,2016,0,5290104,,,104,2.6,2.2,742,Median total income of households in 2015 ($),90880,Peterborough,64777,5290104.00,40.30%,higher,40.30%
71,539030300,2016,1,5390303,,2,303,2.3,6.9,742,Median total income of households in 2015 ($),90880,St. Catharines - Niagara,63001,5390303.00,44.25%,higher,44.25%
62,532020000,2016,0,5320200,,2,200,2.7,6.8,742,Median total income of households in 2015 ($),90912,Oshawa,85697,5320200.00,6.09%,higher,6.09%
21,535001500,2016,0,,5350015,2,15,4.2,5.7,742,Median total income of households in 2015 ($),91097,Toronto,78373,5350015.00,16.24%,higher,16.24%
448,535033000,2016,0,,5350330,2,330,3.4,5.8,742,Median total income of households in 2015 ($),91136,Toronto,78373,5350330.00,16.28%,higher,16.28%
578,535040012,2016,0,,5350400.12,2,400.12,1.7,4.7,742,Median total income of households in 2015 ($),91136,Toronto,78373,5350400.12,16.28%,higher,16.28%
5,539000401,2016,0,5390004.01,,2,4.01,1.7,4.7,742,Median total income of households in 2015 ($),91136,St. Catharines - Niagara,63001,5390004.01,44.66%,higher,44.66%
828,535051629,2016,0,,5350516.29,2,516.29,2.1,1.9,742,Median total income of households in 2015 ($),91264,Toronto,78373,5350516.29,16.45%,higher,16.45%
12,568000405,2016,0,5680004.05,,2,4.05,2.6,2.2,742,Median total income of households in 2015 ($),91278,Barrie,80788,5680004.05,12.98%,higher,12.98%
127,535010204,2016,1,,5350102.04,2,102.04,3.1,4.8,742,Median total income of households in 2015 ($),91392,Toronto,78373,5350102.04,16.61%,higher,16.61%
979,535057629,2016,0,,5350576.29,2,576.29,2,4.5,742,Median total income of households in 2015 ($),91392,Toronto,78373,5350576.29,16.61%,higher,16.61%
1096,535063402,2016,0,,5350634.02,2,634.02,1.9,1.4,742,Median total income of households in 2015 ($),91443,Toronto,78373,5350634.02,16.68%,higher,16.68%
38,568010302,2016,0,5680103.02,,2,103.02,3.7,6.4,742,Median total income of households in 2015 ($),91520,Barrie,80788,5680103.02,13.28%,higher,13.28%
23,541000806,2016,1000,5410008.06,,2,8.06,10.7,4.7,742,Median total income of households in 2015 ($),91648,Kitchener - Cambridge - Waterloo,77229,5410008.06,18.67%,higher,18.67%
75,532020217,2016,0,5320202.17,,2,202.17,2,1.7,742,Median total income of households in 2015 ($),91648,Oshawa,85697,5320202.17,6.94%,higher,6.94%
8,537000109,2016,0,5370001.09,,,1.09,2.2,3,742,Median total income of households in 2015 ($),91733,Hamilton,75464,5370001.09,21.56%,higher,21.56%
1086,535062400,2016,0,,5350624,2,624,2.1,4.3,742,Median total income of households in 2015 ($),91819,Toronto,78373,5350624.00,17.16%,higher,17.16%
741,535045103,2016,0,,5350451.03,2,451.03,2.4,2.6,742,Median total income of households in 2015 ($),91883,Toronto,78373,5350451.03,17.24%,higher,17.24%
35,568010203,2016,0,5680102.03,,2,102.03,3.1,4.8,742,Median total income of households in 2015 ($),91989,Barrie,80788,5680102.03,13.86%,higher,13.86%
339,535027402,2016,1,,5350274.02,2,274.02,2.6,5.3,742,Median total income of households in 2015 ($),92032,Toronto,78373,5350274.02,17.43%,higher,17.43%
631,535040316,2016,0,,5350403.16,2,403.16,2,2.7,742,Median total income of households in 2015 ($),92032,Toronto,78373,5350403.16,17.43%,higher,17.43%
114,537008503,2016,0,5370085.03,,,85.03,3.6,5.2,742,Median total income of households in 2015 ($),92058,Hamilton,75464,5370085.03,21.99%,higher,21.99%
69,532020211,2016,0,5320202.11,,2,202.11,3.8,3.1,742,Median total income of households in 2015 ($),92081,Oshawa,85697,5320202.11,7.45%,higher,7.45%
589,535040023,2016,0,,5350400.23,2,400.23,1.6,3.8,742,Median total income of households in 2015 ($),92087,Toronto,78373,5350400.23,17.50%,higher,17.50%
8,568000300,2016,0,5680003,,2,3,1.9,0,742,Median total income of households in 2015 ($),92096,Barrie,80788,5680003.00,14.00%,higher,14.00%
19,535001302,2016,0,,5350013.02,2,13.02,4.3,5.4,742,Median total income of households in 2015 ($),92105,Toronto,78373,5350013.02,17.52%,higher,17.52%
629,535040314,2016,0,,5350403.14,2,403.14,2,1.9,742,Median total income of households in 2015 ($),92379,Toronto,78373,5350403.14,17.87%,higher,17.87%
836,535051641,2016,0,,5350516.41,2,516.41,1.7,2.5,742,Median total income of households in 2015 ($),92416,Toronto,78373,5350516.41,17.92%,higher,17.92%
7,537000108,2016,0,5370001.08,,,1.08,2,4.1,742,Median total income of households in 2015 ($),92416,Hamilton,75464,5370001.08,22.46%,higher,22.46%
624,535040309,2016,0,,5350403.09,2,403.09,1.8,1.9,742,Median total income of households in 2015 ($),92480,Toronto,78373,5350403.09,18.00%,higher,18.00%
62,539022100,2016,0,5390221,,2,221,3.3,3.9,742,Median total income of households in 2015 ($),92493,St. Catharines - Niagara,63001,5390221.00,46.81%,higher,46.81%
952,535057210,2016,0,,5350572.1,2,572.1,1.8,6.1,742,Median total income of households in 2015 ($),92501,Toronto,78373,5350572.10,18.03%,higher,18.03%
45,537002603,2016,0,5370026.03,,,26.03,1.4,2.3,742,Median total income of households in 2015 ($),92501,Hamilton,75464,5370026.03,22.58%,higher,22.58%
148,537020501,2016,0,5370205.01,,,205.01,2.1,1.9,742,Median total income of households in 2015 ($),92518,Hamilton,75464,5370205.01,22.60%,higher,22.60%
632,535041002,2016,0,,5350410.02,2,410.02,1.9,0.7,742,Median total income of households in 2015 ($),92544,Toronto,78373,5350410.02,18.08%,higher,18.08%
937,535056215,2016,0,,5350562.15,2,562.15,3.2,4.9,742,Median total income of households in 2015 ($),92544,Toronto,78373,5350562.15,18.08%,higher,18.08%
665,535041201,2016,0,,5350412.01,2,412.01,4.2,5.3,742,Median total income of households in 2015 ($),92587,Toronto,78373,5350412.01,18.14%,higher,18.14%
615,535040208,2016,0,,5350402.08,2,402.08,2.4,2.1,742,Median total income of households in 2015 ($),92608,Toronto,78373,5350402.08,18.16%,higher,18.16%
63,532020101,2016,0,5320201.01,,2,201.01,2.7,5.4,742,Median total income of households in 2015 ($),92629,Oshawa,85697,5320201.01,8.09%,higher,8.09%
48,541010000,2016,0,5410100,,2,100,3.7,5.1,742,Median total income of households in 2015 ($),92711,Kitchener - Cambridge - Waterloo,77229,5410100.00,20.05%,higher,20.05%
983,535057634,2016,0,,5350576.34,2,576.34,2.1,4.1,742,Median total income of households in 2015 ($),92885,Toronto,78373,5350576.34,18.52%,higher,18.52%
100,537008003,2016,0,5370080.03,,,80.03,2.4,4.8,742,Median total income of households in 2015 ($),93013,Hamilton,75464,5370080.03,23.25%,higher,23.25%
951,535057209,2016,1,,5350572.09,2,572.09,3.5,7.1,742,Median total income of households in 2015 ($),93082,Toronto,78373,5350572.09,18.77%,higher,18.77%
886,535052819,2016,0,,5350528.19,2,528.19,1.8,2.5,742,Median total income of households in 2015 ($),93099,Toronto,78373,5350528.19,18.79%,higher,18.79%
672,535041212,2016,0,,5350412.12,2,412.12,2.2,5.1,742,Median total income of households in 2015 ($),93147,Toronto,78373,5350412.12,18.85%,higher,18.85%
143,535011700,2016,1,,5350117,2,117,4.1,6.5,742,Median total income of households in 2015 ($),93184,Toronto,78373,5350117.00,18.90%,higher,18.90%
144,537020100,2016,0,5370201,,,201,3.6,2.4,742,Median total income of households in 2015 ($),93184,Hamilton,75464,5370201.00,23.48%,higher,23.48%
971,535057607,2016,1,,5350576.07,2,576.07,2.2,3.7,742,Median total income of households in 2015 ($),93269,Toronto,78373,5350576.07,19.01%,higher,19.01%
210,535018200,2016,0,,5350182,2,182,3,2.7,742,Median total income of households in 2015 ($),93286,Toronto,78373,5350182.00,19.03%,higher,19.03%
1001,535057659,2016,0,,5350576.59,2,576.59,1.6,2.1,742,Median total income of households in 2015 ($),93300,Toronto,78373,5350576.59,19.05%,higher,19.05%
695,535042015,2016,0,,5350420.15,2,420.15,1.9,4.8,742,Median total income of households in 2015 ($),93312,Toronto,78373,5350420.15,19.06%,higher,19.06%
161,535013200,2016,0,,5350132,2,132,2.7,5.3,742,Median total income of households in 2015 ($),93440,Toronto,78373,5350132.00,19.22%,higher,19.22%
959,535057311,2016,0,,5350573.11,2,573.11,1.5,1.3,742,Median total income of households in 2015 ($),93440,Toronto,78373,5350573.11,19.22%,higher,19.22%
3,543000202,2016,0,5430002.02,,2,2.02,2,1.6,742,Median total income of households in 2015 ($),93440,Brantford,68756,5430002.02,35.90%,higher,35.90%
975,535057617,2016,0,,5350576.17,2,576.17,2.2,3.4,742,Median total income of households in 2015 ($),93472,Toronto,78373,5350576.17,19.27%,higher,19.27%
722,535043007,2016,0,,5350430.07,2,430.07,2.2,0.7,742,Median total income of households in 2015 ($),93497,Toronto,78373,5350430.07,19.30%,higher,19.30%
723,535043008,2016,0,,5350430.08,2,430.08,3.1,1.3,742,Median total income of households in 2015 ($),93497,Toronto,78373,5350430.08,19.30%,higher,19.30%
712,535042409,2016,0,,5350424.09,2,424.09,2.9,5.6,742,Median total income of households in 2015 ($),93542,Toronto,78373,5350424.09,19.35%,higher,19.35%
1093,535063200,2016,0,,5350632,2,632,2.3,3.5,742,Median total income of households in 2015 ($),93550,Toronto,78373,5350632.00,19.37%,higher,19.37%
225,535019300,2016,0,,5350193,2,193,2.4,2.9,742,Median total income of households in 2015 ($),93568,Toronto,78373,5350193.00,19.39%,higher,19.39%
736,535045003,2016,0,,5350450.03,2,450.03,4.5,3.1,742,Median total income of households in 2015 ($),93611,Toronto,78373,5350450.03,19.44%,higher,19.44%
